#{"t_start": 1718037505.7752743, "env_id": null}
r,l,t
452.26312,250,170.823471
414.0244,250,171.046107
451.3687,250,171.54793
482.98502,250,171.652157
559.4716,250,171.813946
469.2633,250,171.814012
442.6392,250,174.241722
371.16113,250,174.326274
393.81067,250,174.445607
422.206,250,175.379511
408.962,250,175.442183
416.88156,250,175.843828
399.38852,250,175.866082
412.37357,250,176.089877
405.16104,250,176.599185
415.006,250,176.701469
449.13568,250,176.863308
431.75778,250,176.863373
417.68198,250,179.307051
476.88425,250,179.387559
412.8886,250,179.511901
409.50613,250,180.421849
411.0386,250,180.487985
423.88046,250,180.885417
414.87396,250,180.907876
510.74823,250,181.127781
429.34937,250,181.622664
416.5896,250,181.724867
462.213,250,181.889826
442.3235,250,181.889903
426.76605,250,184.317914
395.19797,250,184.402375
466.93274,250,184.525437
419.41937,250,185.443358
392.52,250,185.504211
534.33435,250,185.90916
445.28824,250,185.930346
486.8753,250,186.165208
461.9713,250,186.664329
387.6399,250,186.765154
403.60486,250,186.926557
422.21378,250,186.92662
548.0815,250,189.361291
466.80267,250,189.442768
484.20328,250,189.568744
404.02927,250,190.484294
406.37607,250,190.545644
409.82428,250,190.945943
412.60312,250,190.967362
407.18307,250,191.183527
493.70157,250,191.683614
422.70718,250,191.78523
398.63486,250,191.943635
442.8448,250,191.943702
457.9491,250,194.338834
438.37314,250,194.41975
467.26712,250,194.539628
450.6898,250,195.446883
437.06305,250,195.508873
407.8667,250,195.917737
426.05008,250,195.939941
493.46255,250,196.157994
422.19095,250,196.661997
407.70926,250,196.766465
432.43994,250,196.927524
424.99435,250,196.927583
394.7453,250,199.367143
406.61008,250,199.451753
472.6526,250,199.575562
457.55353,250,200.493067
450.0022,250,200.561763
425.1204,250,200.972617
417.97565,250,200.994717
437.44968,250,201.219232
428.17126,250,201.719844
455.10083,250,201.821735
498.90988,250,201.986092
416.5289,250,201.986157
432.62152,250,204.417046
423.95978,250,204.501653
444.16696,250,204.627352
432.95752,250,205.555949
512.53754,250,205.614867
417.3306,250,206.020577
436.31613,250,206.04569
432.97577,250,206.272549
414.09888,250,206.776516
440.29184,250,206.878936
430.43338,250,207.041487
440.4053,250,207.04155
485.64398,250,209.463993
449.1768,250,209.549089
434.44168,250,209.671642
443.85107,250,210.593556
433.25183,250,210.658672
441.40366,250,211.068285
451.32776,250,211.090926
411.8294,250,211.316075
420.2302,250,211.81569
440.34607,250,211.92
449.79724,250,212.081708
423.21796,250,212.083192
417.7888,250,214.493549
409.54132,250,214.575598
505.87875,250,214.701103
418.32913,250,215.634243
414.72647,250,215.697807
404.17334,250,216.103878
433.55774,250,216.126486
528.4674,250,216.350192
403.34085,250,216.8557
409.24872,250,216.958686
412.17896,250,217.12258
455.21127,250,217.122644
469.1546,250,219.543949
445.23734,250,219.627455
529.9612,250,219.747492
404.69965,250,220.667847
504.37387,250,220.731645
510.34183,250,221.136296
498.06058,250,221.15843
411.59033,250,221.383297
416.9216,250,221.880163
427.3332,250,221.982507
429.40826,250,222.144246
432.07928,250,222.144318
441.98563,250,224.563051
428.8816,250,224.645613
435.08484,250,224.770838
473.1362,250,225.68653
451.5758,250,225.750731
434.77197,250,226.150148
429.87958,250,226.171244
429.3949,250,226.394312
450.21057,250,226.899513
444.24457,250,227.002299
408.74918,250,227.166439
511.70953,250,227.166503
426.1809,250,229.602303
422.32892,250,229.681654
480.5265,250,229.806442
437.96252,250,230.7239
442.60397,250,230.787729
453.22504,250,231.203701
392.82733,250,231.226908
468.79236,250,231.452806
426.40335,250,231.962336
412.87415,250,232.065166
429.78146,250,232.23409
476.23785,250,232.234154
442.11066,250,234.660131
426.60886,250,234.74525
387.02145,250,234.867855
440.28204,250,235.784236
412.82562,250,235.848292
386.93307,250,236.250625
441.9048,250,236.273963
449.39133,250,236.498243
427.09125,250,237.00414
431.22287,250,237.110556
426.42282,250,237.278086
424.87393,250,237.278152
426.0292,250,239.723012
421.9245,250,239.808269
422.89258,250,239.929654
401.9012,250,240.851834
448.39865,250,240.916553
452.63486,250,241.349133
427.874,250,241.370933
467.45105,250,241.60217
437.37244,250,242.119183
412.0905,250,242.221739
405.96124,250,242.396838
422.14667,250,242.396897
431.7349,250,244.908881
424.484,250,244.997641
433.70038,250,245.120166
441.8024,250,246.075223
437.13898,250,246.140071
479.91302,250,246.554374
427.76004,250,246.575625
430.35785,250,246.804492
455.54648,250,247.318836
415.05795,250,247.424404
430.58255,250,247.590987
455.22278,250,247.591056
479.88596,250,250.134967
413.4128,250,250.22387
432.91864,250,250.353906
464.51556,250,251.313963
445.7206,250,251.378201
416.08905,250,251.781793
442.36435,250,251.803221
447.2641,250,252.024219
497.3812,250,252.517121
429.29123,250,252.621356
452.0149,250,252.786095
461.30057,250,252.786166
364.55975,250,255.190965
456.0365,250,255.277375
421.80505,250,255.397578
431.5971,250,256.315163
444.20206,250,256.378897
446.50906,250,256.79189
463.08908,250,256.812889
453.8098,250,257.031659
461.7091,250,257.540242
507.59393,250,257.641073
447.63168,250,257.808109
440.67487,250,257.808171
473.523,250,260.243454
426.77612,250,260.3257
475.0511,250,260.457109
445.47842,250,261.392249
399.64798,250,261.452036
458.95157,250,261.858471
424.94635,250,261.884043
462.78964,250,262.109817
437.48856,250,262.619569
462.121,250,262.721222
457.92343,250,262.88181
455.46954,250,262.881874
510.92676,250,265.281803
400.32126,250,265.365959
469.82755,250,265.490069
459.69202,250,266.417965
410.8166,250,266.481925
484.20374,250,266.891175
441.46994,250,266.91393
479.2407,250,267.13259
484.96902,250,267.634317
433.6004,250,267.739948
444.86978,250,267.90596
398.72528,250,267.906022
432.56473,250,270.334248
451.5378,250,270.416912
463.1772,250,270.537811
479.77563,250,271.473201
472.91925,250,271.537434
428.45117,250,271.940052
441.15802,250,271.961769
498.56616,250,272.187879
397.42078,250,272.696322
482.4967,250,272.800051
445.84912,250,272.961718
447.4331,250,272.961781
468.94315,250,275.393101
434.824,250,275.474598
463.60367,250,275.598923
436.57224,250,276.525494
479.22247,250,276.584748
483.81537,250,276.990237
460.43042,250,277.011542
466.5285,250,277.224682
469.30927,250,277.715485
500.72836,250,277.820596
473.3058,250,277.986076
490.67255,250,277.98614
455.84607,250,280.415491
456.73944,250,280.499174
452.90512,250,280.62154
499.10068,250,281.556863
490.4878,250,281.619326
458.82135,250,282.019771
517.8113,250,282.043232
479.33127,250,282.266523
465.19287,250,282.774558
483.71707,250,282.879887
448.93192,250,283.042158
449.4594,250,283.042224
455.19934,250,285.482181
484.2527,250,285.565361
510.08655,250,285.68601
462.80338,250,286.60784
510.5055,250,286.672919
459.14285,250,287.077438
532.4101,250,287.100227
478.1839,250,287.323938
455.63715,250,287.826045
495.9411,250,287.929552
487.74103,250,288.091819
490.53928,250,288.091883
502.48425,250,290.519251
487.15485,250,290.601481
448.63644,250,290.721883
494.476,250,291.664927
447.73538,250,291.73023
513.2509,250,292.141528
489.61566,250,292.163268
499.92447,250,292.3833
472.54486,250,292.885416
515.18823,250,292.985712
523.98285,250,293.152666
501.13358,250,293.15273
405.42206,250,295.625072
498.01257,250,295.709476
411.17484,250,295.830658
497.56967,250,296.760293
460.63278,250,296.823842
460.41336,250,297.229432
487.06683,250,297.253318
496.27814,250,297.475957
500.84338,250,297.979461
481.8806,250,298.08049
481.40152,250,298.244409
509.49948,250,298.24447
503.6301,250,300.66839
508.65652,250,300.752739
455.4403,250,300.874975
523.76575,250,301.804929
494.45187,250,301.871048
548.8795,250,302.278468
469.42532,250,302.302495
458.63727,250,302.526165
444.71466,250,303.038356
469.20197,250,303.144662
526.7357,250,303.307131
438.8573,250,303.307195
510.2605,250,305.738034
534.34436,250,305.821856
472.03604,250,305.944664
470.5492,250,306.857265
497.7374,250,306.920337
471.11987,250,307.325664
499.21075,250,307.349445
514.27246,250,307.576021
505.1872,250,308.086249
479.8174,250,308.192613
466.10474,250,308.355388
495.39984,250,308.355464
488.6195,250,310.798615
471.48145,250,310.88169
535.78485,250,311.004434
496.9257,250,311.933081
505.74414,250,311.996502
466.4524,250,312.404624
502.98117,250,312.426418
477.75177,250,312.647237
518.60297,250,313.153412
547.93317,250,313.253884
469.38556,250,313.420748
504.68878,250,313.420815
501.51178,250,315.841654
498.39206,250,315.925904
473.85306,250,316.047911
480.1806,250,316.975808
491.2967,250,317.037551
492.58047,250,317.444973
475.22824,250,317.467519
510.62372,250,317.692759
496.3061,250,318.200121
502.12064,250,318.307759
491.55994,250,318.468047
534.60583,250,318.468111
498.23578,250,320.903231
509.89285,250,320.98519
460.68384,250,321.113796
479.09006,250,322.045956
540.5014,250,322.11181
522.427,250,322.520148
494.3568,250,322.542878
511.7528,250,322.766496
461.48355,250,323.27432
462.32074,250,323.378342
499.05515,250,323.545007
484.335,250,323.545078
483.48187,250,325.965515
553.84143,250,326.049918
477.697,250,326.176251
489.38004,250,327.093475
522.52875,250,327.155896
506.5644,250,327.555787
479.96246,250,327.579108
480.2103,250,327.805818
511.05847,250,328.314479
459.55017,250,328.417237
490.1067,250,328.586246
452.47702,250,328.58632
486.41312,250,331.027984
487.05276,250,331.109766
488.0794,250,331.236462
529.4088,250,332.178445
566.0001,250,332.241877
502.2696,250,332.644654
564.4496,250,332.669059
543.29395,250,332.896551
534.20746,250,333.406795
522.1216,250,333.512184
520.0127,250,333.679342
527.779,250,333.679404
517.78754,250,336.131079
573.67755,250,336.219805
562.6238,250,336.343719
502.6875,250,337.281923
494.63492,250,337.342477
532.13055,250,337.75343
522.07825,250,337.775904
564.35266,250,337.996098
511.5516,250,338.515115
510.4893,250,338.617892
465.41428,250,338.779968
524.24554,250,338.780031
482.41382,250,341.242829
496.79224,250,341.325331
446.0153,250,341.447572
540.7044,250,342.384792
540.7883,250,342.450896
532.21545,250,342.857549
530.5303,250,342.880634
450.183,250,343.108677
